Самое страшное – это не «снова не получается». Самое страшное – это «я больше не хочу пробовать».|Роберт Орбен
Никогда не бойся делать то, что не умеешь, иначе ничему не научишься.|Владимир Леви
Многие люди никогда не сделают прорыв в своей жизни, потому что они отказались выйти из зоны комфорта и сделать шаг в неизвестность…|Наполеон Хилл
Дойдя до конца, люди смеются над страхами, мучившими их вначале. |Пауло Коэльо
Если ты не знаешь, чего хочешь, ты в итоге останешься с тем, чего точно не хочешь. |Чак Паланик
 Чтобы дойти до цели, надо идти. |Оноре де Бальзак
Это своего рода забава, делать невозможное. |Уолт Дисней
Если люди не смеются над вашими целями, значит ваши цели слишком мелкие. |Азим Премжи
Пробуйте и терпите неудачу, но не прерывайте ваших стараний. |Стивен Каггва
К черту все! Берись и делай! |Ричард Брэнсон
Мы сами должны стать теми переменами, которые хотим видеть в мире. |Махатма Ганди
Препятствия – это те страшные вещи, которые вы видите, когда отводите глаза от цели. |Генри Форд
Постановка целей является первым шагом на пути превращения мечты в реальность. |Тони Роббинс
Быть самым богатым человеком на кладбище для меня не важно… Ложиться спать и говорить себе, что сделал действительно нечто прекрасное, - вот что важно! |Стив Джобс
Через осуществление великих целей человек обнаруживает в себе и великий характер, делающий его маяком для других. |Георг Гегель
Мы должны вызывать, а не ждать вдохновения, чтобы начать дело. Действие всегда порождает вдохновение. Вдохновение редко порождает действие. |Фрэнк Тиболт
Когда вы знаете, чего хотите, и вы хотите этого достаточно сильно, вы найдете способ получить это. |Джим Рон
Я трачу почти все свое время на Facebook. У меня практически нет времени на новые увлечения. Поэтому я ставлю перед собой четкие цели. |Марк Цукенберг
Чтобы достичь поставленных целей, нужны терпение и энтузиазм. Мыслите глобально – но будьте реалистами. |Дональд Трамп
Самый опасный яд – чувство достижения цели. Противоядие к которому – каждый вечер думать, что можно завтра сделать лучше. |Ингвар Кампрад
Вы не можете позволить себе ждать отличных состояний. Постановка целей – часто вопрос балансирования между временем и доступными ресурсами. Возможности легко потерять, ожидая подходящее время. |Гэри Райан Блэр
Пуля, просвистевшая на дюйм от цели, так же бесполезна, как та, что не вылетала из дула. |Фенимор Купер
Никогда, никогда не позволяйте другим убедить вас, что что-то сложно или невозможно. |Дуглас Бадлер
